														
Employee Data Provided for the 2015 valuation														
valuation date		1/1/2015												
														
ID	Name	Date of Birth	Date of Hire	2014 Salary	2013 Salary	2012 Salary	Retirement Date	Retirement Benefit	1/1/2015 Status	1/1/2014 Status	Age 	Service 	Average Salary	Salary Increase
430276	Austin Carlson	04/13/1980	08/12/1985	" 103,200 "	" 98,300 "	" 93,600 "			A	A	34.7171	29.3865	" 98,367 "	4.98%
430534	David L Hohl	11/08/1943	07/25/2002	" 102,000 "	" 2,400 "				A	A	71.1475	12.4342	" 52,200 "	4150.00%
443913	Dawn E Jackson	07/21/1945	10/26/1987	" 100,800 "	" 96,000 "	" 91,400 "			A	A	69.4452	27.1815	" 96,067 "	5.00%
446641	Amanda Shapiro	10/02/1964	05/24/1996	" 360,000 "	" 331,200 "	" 302,400 "			A	A	50.2473	18.6037	" 331,200 "	8.70%
462488	Jacqueline E Lam	07/19/1961	02/18/2005	" 142,600 "	" 135,700 "	" 129,400 "			A	A	53.4507	9.8701	" 135,900 "	5.08%
472297	Aaron Johnson	01/18/1993	01/23/2005	" 141,100 "	" 134,400 "	" 128,000 "			A	A	21.9534	9.9397	" 134,500 "	4.99%
489909	Jumaan Nelson	01/18/1967	07/25/2002	" 139,700 "	" 133,100 "	" 126,700 "			A	A	47.9534	12.4342	" 133,167 "	4.96%
489933	Luke Larson	08/30/1960	06/18/1999	" 138,200 "	" 131,600 "	" 125,400 "			A	A	54.3372	15.5368	" 131,733 "	5.02%
537613	Celina Souers	10/05/1982	07/21/1996	" 136,800 "	" 130,300 "	" 124,100 "			A	A	32.2390	18.4452	" 130,400 "	4.99%
538228	Yazeed Doll Woolley	04/22/1943	12/21/2013	" 460,800 "	" 46,100 "				A		71.6925	1.0285	" 253,450 "	
545776	Brian Larson	12/14/1965	11/28/1997	" 133,900 "	" 127,600 "	" 121,400 "			A	A	49.0477	17.0927	" 127,633 "	4.94%
565414	Blake Aho	07/27/1959	07/19/2013	" 132,500 "	" 57,600 "				A		55.4288	1.4507	" 95,050 "	
570202	Saleh Klendshoj	06/16/1944	09/17/2009	" 90,000 "	" 85,700 "	" 81,600 "			A	A	70.5422	5.2895	" 85,767 "	5.02%
578408	George Bartho	10/19/1947	06/10/2010	" 89,000 "	" 84,800 "	" 80,700 "			A	A	67.2007	4.5587	" 84,833 "	4.95%
579268	Jessika Benson	06/14/1960	08/19/2011	" 88,000 "	" 83,800 "	" 40,000 "			A	A	54.5477	3.3674	" 70,600 "	5.01%
